loan_id,customer_id,industry,loan_amount,overdue_days,risk_class,report_date
LN00450,C9843,批发零售,2397.96,5,关注,2025-08-30
LN00451,C7303,餐饮住宿,3752.96,0,正常,2025-08-04
LN00452,C8569,批发零售,1161.85,0,正常,2025-08-07
LN00453,C8128,房地产,860.23,0,正常,2025-08-12
LN00454,C1685,餐饮住宿,112.94,45,次级,2025-08-11
LN00455,C6341,房地产,4313.78,0,正常,2025-08-15
LN00456,C8697,建筑业,3198.55,45,次级,2025-08-02
LN00457,C1301,交通运输,3656.03,90,次级,2025-08-25
LN00458,C9789,建筑业,3778.28,0,正常,2025-08-07
LN00459,C4537,餐饮住宿,584.32,0,正常,2025-08-11
LN00460,C5082,建筑业,795.85,5,关注,2025-08-20
LN00461,C2724,交通运输,3729.95,0,正常,2025-08-29
LN00462,C3460,餐饮住宿,514.1,0,正常,2025-08-20
LN00463,C7279,制造业,2334.71,5,关注,2025-08-16
LN00464,C1514,制造业,4959.46,0,正常,2025-08-24
LN00465,C9033,房地产,1059.98,0,正常,2025-08-22
LN00466,C3159,交通运输,3929.77,0,正常,2025-08-12
LN00467,C3649,建筑业,4207.82,0,正常,2025-08-20
LN00468,C4489,制造业,3805.45,0,正常,2025-08-12
LN00469,C8902,房地产,1562.74,5,关注,2025-08-08
LN00470,C3179,房地产,1957.61,180,可疑,2025-08-28
LN00471,C2013,建筑业,2985.57,5,关注,2025-08-27
LN00472,C3023,餐饮住宿,932.94,0,正常,2025-08-22
LN00473,C2080,餐饮住宿,1968.98,0,正常,2025-08-15
LN00474,C4586,建筑业,371.03,0,正常,2025-08-16
LN00475,C4959,批发零售,3037.26,0,正常,2025-08-30
LN00476,C4390,餐饮住宿,431.44,5,关注,2025-08-10
LN00477,C6433,交通运输,3553.02,0,正常,2025-08-28
LN00478,C6469,房地产,1674.55,0,正常,2025-08-09
LN00479,C2651,制造业,359.58,0,正常,2025-08-04
LN00480,C2019,房地产,1532.25,5,关注,2025-08-31
LN00481,C1659,制造业,3938.98,0,正常,2025-08-05
LN00482,C3171,餐饮住宿,1949.97,180,可疑,2025-08-23
LN00483,C6624,批发零售,2849.47,0,正常,2025-08-22
LN00484,C7397,批发零售,2953.07,0,正常,2025-08-26
LN00485,C3610,制造业,4706.36,45,次级,2025-08-22
LN00486,C8999,房地产,971.2,0,正常,2025-08-15
LN00487,C7404,交通运输,3544.79,0,正常,2025-08-06
LN00488,C8462,建筑业,2507.48,0,正常,2025-08-31
LN00489,C1685,制造业,3070.61,0,正常,2025-08-04
LN00490,C7868,制造业,391.34,5,关注,2025-08-20
LN00491,C5998,批发零售,1272.55,0,正常,2025-08-04
LN00492,C3014,餐饮住宿,2276.21,0,正常,2025-08-19
LN00493,C6347,餐饮住宿,216.39,0,正常,2025-08-12
LN00494,C6560,批发零售,1762.31,45,次级,2025-08-14
LN00495,C1671,制造业,3335.76,5,关注,2025-08-12
LN00496,C3539,交通运输,3949.18,0,正常,2025-08-18
LN00497,C7164,制造业,1319.82,0,正常,2025-08-29
LN00498,C2938,批发零售,1578.06,0,正常,2025-08-11
LN00499,C9616,建筑业,159.07,0,正常,2025-08-11
